procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 3116756 336600 8272744    0    0    13    30  106   45  4  1 95  0  0
55  0      0 1876312 336600 8272108    0    0     0   320 11186 8858 87 10  3  0  0
 4  0      0 3075700 336608 8274960    0    0     0  1312 11377 20218 66 12 22  0  0
52  0      0 2117580 336608 8273936    0    0     0  1060 10860 11046 65  9 26  0  0
25  0      0 2809952 336608 8274272    0    0     0   624 11320 15679 87 13  0  0  0
30  0      0 2690608 336608 8274488    0    0     0   432 10515 13256 58 10 33  0  0
41  0      0 2257828 336608 8274660    0    0     0   476 11044 12679 88 12  0  0  0
11  0      0 3001596 336608 8274464    0    0     0  1992 11943 17462 76 13 11  0  0
43  0      0 2267652 336608 8274856    0    0     0   464 10873 13025 82 12  7  0  0
18  0      0 2828856 336608 8274236    0    0     0   584 11857 16273 87 13  0  0  0
 3  0      0 3091576 336608 8274916    0    0     0   348 9052 14298 40  6 54  0  0
 2  1      0 3130388 336700 8274860    0    0     0  1204 7088 7811  8  1 91  0  0
