procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 3073588 336576 8271336    0    0    13    30  106   44  4  1 95  0  0
20  0      0 2815004 336576 8270776    0    0     0   464 12369 13774 85 12  3  0  0
20  0      0 2838660 336576 8272092    0    0     0   264 8480 11642 28  5 67  0  0
 4  0      0 3049416 336580 8271844    0    0     0  1656 11389 18020 81 13  6  0  0
28  0      0 2797352 336592 8272088    0    0     0  1024 10104 10764 42  7 51  0  0
 6  0      0 3002560 336592 8271784    0    0     0   448 13333 16122 66  8 26  0  0
35  0      0 2752604 336600 8272960    0    0     0  1172 11794 12804 63 10 28  0  0
 7  0      0 3065880 336600 8272528    0    0     0   400 10030 14460 51  8 40  0  0
 3  0      0 3136756 336600 8273076    0    0     0   324 9710 12870 41  7 52  0  0
