procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 3130100 336752 8276952    0    0    13    30  107   46  4  1 95  0  0
58  0      0 1635196 336760 8276312    0    0     0  1220 8749 8307 87 10  3  0  0
37  0      0 2482260 336784 8276856    0    0     0  1260 11173 17103 86 14  0  0  0
59  0      0 2422384 336784 8277472    0    0     0   536 11910 15354 86 14  0  0  0
101  0      0 1153900 336784 8278448    0    0     0   316 11208 10088 89 11  0  0  0
91  0      0 1368524 336784 8278352    0    0     0   464 14959 13361 89 11  0  0  0
51  0      0 2532740 336784 8277720    0    0     0   612 11669 18803 87 13  0  0  0
68  0      0 2024116 336792 8278280    0    0     0  1388 15020 14372 86 14  0  0  0
88  0      0 1268612 336792 8278396    0    0     0   380 10151 13226 89 11  0  0  0
73  0      0 1783124 336792 8278304    0    0     0   524 10727 13685 89 11  0  0  0
56  0      0 2250292 336792 8278420    0    0     0   648 10926 16776 86 14  0  0  0
86  0      0 1774568 336920 8278716    0    0     0  2324 10989 14010 87 13  0  0  0
80  0      0 1366096 336920 8278764    0    0     0   372 10478 13363 89 11  0  0  0
72  0      0 1988468 336920 8278980    0    0     0   560 10389 15169 88 13  0  0  0
56  0      0 2103656 336920 8279116    0    0     0   508 11748 16635 86 14  0  0  0
52  0      0 2095820 336920 8279408    0    0     0   616 10984 14609 88 12  0  0  0
 2  0      0 3060136 336928 8279472    0    0     0  1392 10754 19323 69 12 19  0  0
 3  0      0 3103372 336928 8279648    0    0     0   208 9237 12785 29  5 66  0  0
 1  0      0 3108608 336928 8279916    0    0     0    12 6586 5939  8  1 91  0  0
