procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3049244 337348 8322660    0    0     0  4992 5463 5963 13  2 84  0  0
 0  0      0 3049764 337356 8322380    0    0     0   916 1755 3373  2  1 97  0  0
 1  0      0 3048508 337364 8319452    0    0     0    56  692 1992  1  0 98  0  0
 0  0      0 3063872 337364 8308428    0    0     0     0  985 2648  3  1 97  0  0
 1  0      0 3009424 337364 8331980    0    0     0     0 4230 6626  5  1 94  0  0
 1  0      0 3055980 337364 8290956    0    0     0     0  618 1777  1  1 98  0  0
 1  0      0 3055580 337364 8288780    0    0     0     0  575 1678  1  0 98  0  0
 1  0      0 3077732 337364 8288132    0    0     0    76  705 1920  1  0 98  0  0
 1  0      0 3084540 337372 8287948    0    0     0   184  654 1778  1  1 98  0  0
 0  0      0 3055384 337372 8311140    0    0     0     0 2183 5571  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3076604 337372 8290584    0    0     0     0  541 1776  1  0 99  0  0
12  0      0 3052476 337372 8288640    0    0     0   276 1089 2744  3  0 97  0  0
 1  0      0 3052980 337372 8287824    0    0     0   212  782 1912  2  0 97  0  0
 0  0      0 3051000 337524 8287660    0    0     0   792  809 2411  1  1 98  0  0
 0  0      0 3026700 337524 8311016    0    0     0     0 1856 5392  3  1 95  0  0
 0  0      0 3075996 337524 8290728    0    0     0     0  558 1651  1  0 98  0  0
 0  0      0 3075748 337524 8288552    0    0     0     0  541 1628  2  0 98  0  0
 0  0      0 3076064 337524 8287964    0    0     0   136  577 1610  2  0 98  0  0
 0  0      0 3077072 337524 8287964    0    0     0   100  538 1660  2  0 98  0  0
 0  0      0 3056276 337532 8310704    0    0     0    44 1882 5337  3  1 96  0  0
 0  0      0 3083956 337532 8290280    0    0     0     0  855 2279  3  0 97  0  0
 0  0      0 3085136 337532 8288336    0    0     0     0  582 1738  1  0 98  0  0
 1  0      0 3083840 337564 8288092    0    0     0   136  608 1855  2  0 97  1  0
 0  0      0 3083264 337564 8288016    0    0     0    68  558 1663  1  0 99  0  0
 0  0      0 3033652 337564 8311116    0    0     0    56 2000 5588  3  1 96  0  0
 1  0      0 3037488 337564 8307448    0    0     0    64 3232 4547  7  2 92  0  0
 2  0      0 3035080 337564 8307976    0    0     0    64 2973 5833  7  2 91  0  0
 3  0      0 3049468 337564 8308088    0    0     0    64 2379 5462  7  1 92  0  0
 5  0      0 3009848 337572 8307036    0    0     0   368 2289 5796  3  1 96  0  0
 1  0      0 3035728 337580 8307140    0    0     0   904 3146 6254  9  1 90  0  0
 1  0      0 3026988 337580 8307268    0    0     0    64 3974 6239  7  2 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 3033496 337584 8287136    0    0     0   296 1102 2672  2  1 98  0  0
 1  0      0 3027352 337672 8284820    0    0     0   692 1502 4736  2  1 97  0  0
 2  0      0 3030880 337672 8284116    0    0     0   416 2468 5000  4  1 95  0  0
 2  0      0 3007392 337672 8307004    0    0     0   308 2565 8741  5  2 94  0  0
 2  0      0 3001056 337672 8306796    0    0     0     0 2844 6343  4  1 95  0  0
 0  0      0 2983108 337684 8335352    0    0     0   272 1135 3388  2  1 97  0  0
 0  0      0 2993928 337684 8333336    0    0     0     0 1089 3052  4  1 95  0  0
 0  0      0 3018208 337692 8310680    0    0     0   208  860 2063  2  0 98  0  0
 0  0      0 3031264 337832 8310540    0    0     0   704  775 2349  1  0 98  0  0
 0  0      0 3031264 337832 8310612    0    0     0     4  606 1778  2  0 98  0  0
 0  0      0 2990344 337832 8335064    0    0     0   156 1951 5481  3  1 96  0  0
 0  0      0 3028180 337840 8294572    0    0     0   184  566 1688  1  0 98  0  0
 0  0      0 3039004 337848 8291636    0    0     0   320  643 1795  1  0 98  0  0
 2  0      0 2969192 337848 8334044    0    0     0     0 2346 8226  5  1 94  0  0
 0  0      0 2968516 337848 8334324    0    0     0     0 1715 5071  3  1 96  0  0
 0  0      0 2968624 337848 8334288    0    0     0    12 2120 6275  5  1 94  0  0
 1  0      0 3009568 337848 8314140    0    0     0    56  593 1745  1  0 98  0  0
 1  0      0 3010812 337848 8311964    0    0     0     0  565 1734  1  0 98  0  0
 1  0      0 3010344 337856 8311640    0    0     0    76  561 1699  1  0 98  0  0
 1  0      0 3009588 337856 8311376    0    0     0     0  514 1676  2  0 98  0  0
 0  0      0 2998844 337856 8323600    0    0     0     0 1926 5313  4  1 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3004060 337856 8303388    0    0     0     8  624 1747  1  0 98  0  0
 0  0      0 3003620 337856 8301444    0    0     0     0  530 1724  1  0 99  0  0
 0  0      0 3002864 337864 8300624    0    0     0    48  548 1684  2  0 98  0  0
 0  0      0 3022284 337864 8301280    0    0     0 28448 1491 2453  4  0 95  0  0
 0  0      0 2999244 337864 8324212    0    0     0     0 1822 5496  3  1 96  0  0
 0  0      0 3011168 337880 8303724    0    0     0   248  772 1906  2  1 98  0  0
 0  0      0 3013284 337880 8301792    0    0     0    12  588 1925  2  0 98  0  0
 1  0      0 3014688 337880 8300912    0    0     0   172  610 1770  1  0 98  0  0
 0  0      0 3017724 337880 8300908    0    0     0     0  514 1703  1  0 98  0  0
 1  0      0 2999108 337880 8323988    0    0     0     0 1894 5440  3  1 95  0  0
 0  0      0 3010932 337880 8303800    0    0     0     0  558 1737  1  0 98  0  0
 0  0      0 2980996 337888 8335092    0    0     0    28 1002 3354  2  1 97  0  0
 1  0      0 2897588 337888 8381036    0    0     0     8 5634 13929 10  2 89  0  0
 1  0      0 2885328 337908 8398124    0    0     0   132 3536 12413  6  2 93  0  0
 2  0      0 2887976 337908 8395784    0    0     0     0 2203 7290  3  1 96  0  0
 1  0      0 2900800 337908 8397432    0    0     0     4 2763 9078  6  1 93  0  0
 2  0      0 2883680 337908 8409136    0    0     0     8 4208 11793  6  2 92  0  0
 2  0      0 2894932 337924 8406584    0    0     0   124 1417 3599  2  1 97  0  0
 1  0      0 2900236 337924 8405708    0    0     0     8 2012 7100  4  1 95  0  0
 0  0      0 2881580 337944 8406336    0    0     0   108 1934 6388  3  1 96  0  0
 2  0      0 2910904 337944 8385700    0    0     0     4 2346 7233  5  1 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2930980 337944 8360028    0    0     0     0 3406 12172  6  1 92  0  0
 0  0      0 2987472 337944 8321068    0    0     0    20 1928 3890  3  1 97  0  0
 0  0      0 2995488 337944 8342512    0    0     0   264 3681 12131  6  1 93  0  0
 0  0      0 2998008 337944 8343736    0    0     0     8 3106 10902  5  1 93  0  0
 0  0      0 2977904 337960 8369220    0    0     0   112 3146 9930  6  2 92  0  0
 1  0      0 2968832 337960 8376872    0    0     0     0  871 2476  2  1 98  0  0
 0  0      0 2992768 337960 8350756    0    0     0     0  630 1757  1  0 98  0  0
 0  0      0 2995364 337960 8347344    0    0     0    40  543 1698  1  0 98  0  0
 0  0      0 3003004 337960 8344180    0    0     0     8  898 2486  3  1 96  0  0
 0  0      0 3019080 337968 8336024    0    0     0   156 1692 3357  6  1 93  0  0
 4  0      0 2946840 337968 8325572    0    0     0    12 1267 3534  4  1 96  0  0
 1  0      0 2996508 337968 8331324    0    0     0    36 3838 11789  7  2 91  0  0
 1  0      0 2986344 337968 8336728    0    0     0    72 3862 11970  9  2 89  0  0
 0  0      0 2994104 337968 8336824    0    0     0    48 4933 12929 10  3 87  0  0
 0  0      0 3006544 337980 8337012    0    0     0   756 4031 7279  7  2 91  0  0
 2  0      0 3001768 337980 8336224    0    0     0     0 1656 4801  2  1 97  0  0
 0  0      0 2998024 337980 8336160    0    0     0     0 2602 8788  4  2 94  0  0
 1  0      0 2830552 337980 8494608    0    0     0    56 2754 7419  6  2 91  0  0
 2  0      0 2842828 337980 8478060    0    0     0     0 1766 3911  2  1 97  0  0
 0  0      0 2829804 338192 8427128    0    0   140  1740 2880 9034  5  2 93  1  0
12  0      0 2436568 338284 8672404    0    0  1092  1136 5829 27498  8  4 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 2418240 338348 8613208    0    0     0 18732 9087 34746 11  3 86  0  0
 2  0      0 2586176 338412 8468756    0    0     0 22016 7183 19769  9  3 88  0  0
 3  0      0 2489432 338604 8472492    0    0     0 54372 13849 51497 17  3 79  0  0
 1  0      0 2320084 338604 8606960    0    0     0  1228 6226 25658  9  2 89  0  0
 2  0      0 2244124 338636 8636020    0    0     0   436 7651 38541  9  3 88  0  0
 0  0      0 2282636 338652 8607512    0    0     0   192 2596 9026  5  1 94  0  0
 0  0      0 2284508 338652 8606356    0    0     0     0 2366 7697  3  2 96  0  0
 0  0      0 2305336 338652 8596996    0    0     0     0 2205 8624  3  1 95  0  0
 0  0      0 2302564 338656 8597376    0    0     0   196 1398 4050  2  1 96  0  0
 0  0      0 2300576 338688 8596644    0    0     0  1384 1282 4274  2  1 97  0  0
 0  0      0 2301960 338688 8574976    0    0     0     8 1379 3648  2  1 97  0  0
 1  0      0 2317888 338688 8563860    0    0     0     0 3803 9307  4  1 95  0  0
 0  0      0 2326520 338688 8558756    0    0     0     0 1071 3607  2  1 98  0  0
 1  0      0 2350904 338688 8561732    0    0     0     0 1647 5632  4  1 95  0  0
 1  0      0 2350148 338688 8559220    0    0     0    68 1338 3304  2  1 97  0  0
 0  0      0 2350400 338688 8558976    0    0     0    48  998 2782  2  1 98  0  0
 2  0      0 2350968 338688 8559028    0    0     0    52 1076 3633  2  1 98  0  0
 0  0      0 2352232 338688 8559036    0    0     0     0 1046 3629  2  1 97  0  0
 0  0      0 2358188 338688 8546484    0    0     0     0 1253 4018  2  1 97  0  0
 2  0      0 2367756 338688 8535740    0    0     0     4 1063 3357  2  1 97  0  0
 0  0      0 2366752 338704 8536320    0    0     0   404 1306 4135  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 2372116 338704 8540180    0    0     0     0 1670 5096  3  1 96  0  0
 0  0      0 2376924 338704 8539652    0    0     0    12 1079 3196  3  0 96  0  0
 0  0      0 2374404 338708 8537172    0    0     0   212 1489 2745  2  1 98  0  0
 0  0      0 2378532 338708 8531028    0    0     0   116 1895 2983  2  0 98  0  0
 1  0      0 2382316 338708 8530964    0    0     0    60 2101 2993  1  0 98  0  0
 2  0      0 2379796 338708 8533156    0    0     0   164 1195 3170  2  1 98  0  0
 1  0      0 2383308 338740 8533164    0    0     0  9240 1320 3839  2  1 97  0  0
 0  0      0 2404660 338756 8526744    0    0     0   192  963 2845  2  1 98  0  0
 0  0      0 2474644 338768 8526728    0    0     0   120 10486 6551  4  1 95  0  0
 1  0      0 2488324 338768 8526744    0    0     0     0 5204 5425  5  1 94  0  0
 0  0      0 2497144 338768 8526612    0    0     0     0 2430 5086  5  1 94  0  0
 0  0      0 2511992 338768 8512900    0    0     0   300 1314 5221  2  1 97  0  0
 0  0      0 2520804 338768 8514640    0    0     0     4 1676 5054  2  1 97  0  0
 1  0      0 2520048 338776 8514668    0    0     0   120 1544 4266  2  1 97  0  0
 1  0      0 2520052 338804 8514152    0    0     0   144 1067 3548  2  1 97  0  0
 0  0      0 2518792 338804 8514160    0    0     0     0 1028 3784  2  1 97  0  0
 0  0      0 2487796 338804 8514168    0    0     0     0 1146 3854  3  1 97  0  0
 1  0      0 2485276 338804 8514176    0    0     0     0 1233 4064  2  1 97  0  0
 0  0      0 2478408 338804 8518000    0    0     0   116 1735 5383  4  1 95  0  0
 0  0      0 2479920 338804 8517916    0    0     0     4  890 2654  2  1 98  0  0
 1  0      0 2496164 338812 8518368    0    0     0    40 1314 3518  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2494656 338820 8518376    0    0     0   948 1021 3379  2  1 97  0  0
 0  0      0 2517840 338820 8517848    0    0     0   156 1198 4191  2  1 97  0  0
 0  0      0 2518344 338820 8517852    0    0     0     0  913 3233  2  1 98  0  0
 1  0      0 2532204 338820 8517856    0    0     0     0  890 3103  2  0 98  0  0
 5  0      0 2544264 338820 8512664    0    0     0    16 3065 5131  5  1 95  0  0
 0  0      0 2544836 338824 8508832    0    0     0   108 1145 4098  2  1 97  0  0
 0  0      0 2580100 338824 8501604    0    0     0   156 1704 4735  4  1 95  0  0
 1  0      0 2588884 338824 8500852    0    0     0     0  892 3108  2  0 98  0  0
 1  0      0 2567968 338824 8501436    0    0     0     0  902 2963  2  1 98  0  0
 1  0      0 2566208 338832 8499260    0    0     0   188 1121 3037  2  1 97  0  0
 0  0      0 2563452 338832 8500924    0    0     0   168  857 2702  1  1 98  0  0
 0  0      0 2584044 338832 8500932    0    0     0   524 1039 3348  2  1 97  0  0
 1  0      0 2582784 338832 8500944    0    0     0     0 1080 3850  2  1 97  0  0
 1  0      0 2582032 338840 8500944    0    0     0   272  771 2464  2  1 97  0  0
 1  0      0 2571196 338840 8500940    0    0     0     0 1037 2724  2  1 98  0  0
 0  0      0 2578508 338840 8500952    0    0     0     0 1323 4033  4  1 95  0  0
 0  0      0 2579540 339104 8498636    0    0     0  1764 1736 5727  3  1 95  1  0
 1  0      0 2580800 339112 8494540    0    0     0    72 1030 3182  2  1 97  0  0
 0  0      0 2596012 339112 8494600    0    0     0    92  848 2644  2  0 98  0  0
 2  0      0 2614640 339112 8495112    0    0     0     0 2196 8405  6  1 93  0  0
 0  0      0 2611872 339124 8495056    0    0     0    96 1417 5227  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2608236 339148 8490480    0    0     0   488 1143 3762  2  1 97  0  0
 0  0      0 2605968 339164 8490556    0    0     0   112 1174 4184  2  0 97  0  0
 0  0      0 2613780 339164 8492048    0    0     0     4  944 3495  2  1 98  0  0
 0  0      0 2611012 339164 8492504    0    0     0     0 1363 4237  4  1 95  0  0
 2  0      0 2612020 339164 8492576    0    0     0    84 2494 5573  4  1 95  0  0
 0  0      0 2607792 339172 8492072    0    0     0  1788 1163 3781  2  1 97  0  0
 0  0      0 2623768 339172 8481772    0    0     0     0  849 2875  2  0 98  0  0
 0  0      0 2572244 339172 8494128    0    0     0     4 1102 3324  2  1 97  0  0
 1  0      0 2571992 339172 8494136    0    0     0   672  933 3093  2  1 97  0  0
 1  0      0 2571236 339172 8494172    0    0     0     0 1099 3926  3  1 97  0  0
 1  0      0 2602384 339176 8494176    0    0     0    96  918 3164  2  1 97  0  0
 0  0      0 2592588 339176 8491904    0    0     0     0  757 2308  2  0 98  0  0
 4  0      0 2585972 339176 8499728    0    0     0     0 1214 4538  5  0 94  0  0
 0  0      0 2583452 339176 8499900    0    0     0     4 1789 4991  3  1 96  0  0
 0  0      0 2591264 339176 8499252    0    0     0     0  997 2944  2  1 98  0  0
 0  0      0 2573876 339184 8499284    0    0     0   352 1199 3708  2  1 96  1  0
 0  0      0 2573372 339184 8499296    0    0     0     0  923 3504  2  1 97  0  0
 1  0      0 2572112 339184 8499252    0    0     0     0  834 2577  2  0 98  0  0
 0  0      0 2590624 339184 8500612    0    0     0     0 1338 3853  2  1 97  0  0
 0  0      0 2583832 339184 8500732    0    0     0     4 1307 5017  3  1 96  0  0
 2  0      0 2544344 339192 8508136    0    0     0  2152 3082 12886  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2534456 339192 8512456    0    0     0     0 3107 9363  5  1 94  0  0
 0  0      0 2414656 339192 8609400    0    0     0     0 2715 8335  5  2 94  0  0
 0  0      0 2498208 339192 8523888    0    0     0     0 3444 10722  6  2 92  0  0
 0  0      0 2532188 339192 8500880    0    0     0     0 2051 3533  3  1 96  0  0
 0  0      0 2538700 339200 8505916    0    0     0   120 2686 9721  4  1 94  1  0
 0  0      0 2558048 339208 8505676    0    0     0   408 3441 11290  8  2 91  0  0
 4  0      0 2494608 339232 8534352    0    0     0   100 2424 8752  4  2 94  0  0
 0  0      0 2496372 339240 8534268    0    0     0   204 1257 4234  3  1 97  0  0
 0  0      0 2478296 339240 8553852    0    0     0     0 2437 8256  6  1 92  0  0
 1  0      0 2500404 339268 8556440    0    0     0   640 2169 7287  4  1 95  0  0
 0  0      0 2499408 339268 8556476    0    0     0  1980 1287 4420  2  1 97  0  0
 3  0      0 2324392 339284 8704472    0    0     0   128 3711 14584  8  2 90  0  0
 3  0      0 2287356 339284 8707684    0    0     0     0 6263 22727  9  2 90  0  0
 3  0      0 2290600 339284 8675348    0    0     0     0 3339 13479  6  1 93  0  0
 2  0      0 2213500 339288 8736372    0    0   144   316 12523 68470 11  3 86  0  0
 1  0      0 2166608 339288 8782960    0    0    32  2424 3157 14161  5  2 93  0  0
 1  0      0 2147180 339368 8794048    0    0     8  1796 2770 11575  4  1 95  0  0
 0  0      0 2199140 339380 8782408    0    0     0   232 3329 13289  6  1 92  0  0
 0  0      0 2227536 339380 8758184    0    0     0     0 1848 6681  2  1 97  0  0
