procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 3108608 336928 8279916    0    0    13    30  107   46  4  1 95  0  0
59  0      0 1508644 336928 8278832    0    0     0   280 8791 7967 86 11  3  0  0
81  0      0 1848456 336928 8284724    0    0     0   612 9812 13860 87 13  0  0  0
44  0      0 2537748 336936 8372496    0    0     0  1408 11389 18592 87 13  0  0  0
66  0      0 1677448 337080 8369956    0    0     0  2216 11555 16027 87 13  0  0  0
87  0      0 1388492 337080 8338400    0    0     0   396 9738 11052 89 11  0  0  0
66  0      0 1831268 337088 8335832    0    0     0  1272 18803 16644 87 13  0  0  0
67  0      0 2044780 337088 8426804    0    0     0  8624 10437 17820 87 13  0  0  0
80  0      0 1390416 337120 8436112    0    0     0  1584 10092 16327 88 12  0  0  0
80  0      0 1353948 337128 8460956    0    0     0  1176 10031 15319 88 12  0  0  0
64  0      0 2046772 337132 8441444    0    0     0  1256 10766 18581 87 13  0  0  0
59  0      0 1910560 337132 8434116    0    0     0   472 11579 17570 87 13  0  0  0
80  0      0 1575352 337148 8410640    0    0     0  1516 10955 14964 87 13  0  0  0
80  0      0 1359968 337156 8377056    0    0     0  1584 9936 12253 89 11  0  0  0
72  0      0 1712936 337164 8370864    0    0     0  1336 10648 14439 87 13  0  0  0
60  0      0 1840476 337164 8364752    0    0     0   476 11464 16003 90 10  0  0  0
43  0      0 2261812 337180 8367012    0    0     0  1592 11049 14684 88 12  0  0  0
 1  0      0 2987856 337192 8367400    0    0     0  1816 11683 15914 59 10 31  0  0
 9  0      0 2856108 337192 8366904    0    0     0   192 8806 11571 35  5 60  0  0
 2  0      0 3053028 337340 8330992    0    0     0  1148 5360 6051 10  1 88  0  0
 1  0      0 3059520 337340 8331636    0    0     0   100 6039 6491 17  2 81  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 3056852 337340 8331628    0    0     0   112 7296 7974 17  3 79  0  0
 1  0      0 3066988 337340 8331760    0    0     0   456 5376 3217  7  1 93  0  0
 1  0      0 3067732 337344 8329168    0    0     0   848 4764 2296  6  1 93  0  0
 1  0      0 3049364 337344 8328760    0    0     0   912 3974 2379  6  0 93  0  0
 0  0      0 3047852 337344 8328688    0    0     0     0 1764 1858  3  0 96  0  0
 1  0      0 2996588 337344 8363036    0    0     0     0 3296 14307  6  2 93  0  0
 1  0      0 3054120 337344 8322464    0    0     0  8040 5204 10364 18  4 78  0  0
 5  0      0 2932900 337348 8323184    0    0     0   696 3396 4706 11  2 86  0  0
 4  0      0 2976284 337348 8322636    0    0     0    76 4222 4636  7  1 92  0  0
 0  0      0 3064752 337348 8322944    0    0     0   112 4661 7254 13  2 84  0  0
 0  0      0 3058396 337348 8322848    0    0     0   128 4803 6595 14  2 84  0  0
