procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  57892 412292 249344 3696504    0    0   174     8 4234 4512 10  2 88  0  0
 1  0  57892 431104 249344 3696576    0    0     0     8 6739 10407 15  3 82  0  0
 0  0  57892 432292 249344 3693584    0    0     0     8 5753 6631 10  3 86  0  0
 0  0  57892 438816 249344 3685804    0    0     0   104 4392 6970 11  3 87  0  0
 1  0  57892 431608 249344 3693940    0    0     0     8 3535 6835  8  3 90  0  0
 1  0  57892 435768 249344 3679240    0    0   392   120 3407 6701  8  3 90  0  0
 2  0  57892 434112 249348 3677712    0    0     0   180 3573 7163  8  3 90  0  0
 0  0  57892 441988 249348 3677592    0    0     0   316  834 1102  5  1 94  0  0
 0  0  57892 441736 249348 3672216    0    0     0     8  557  983  1  1 98  0  0
 0  0  57892 451896 249348 3675708    0    0     0     8  679 1254  2  1 97  0  0
 0  0  57892 451144 249364 3675216    0    0     0   268  674 1207  1  1 98  0  0
 0  0  57892 468416 249364 3658288    0    0     0     8  808 1138  1  2 97  0  0
 0  0  57892 467940 249364 3658068    0    0     0     8  547 1043  1  1 98  0  0
 0  0  57892 466936 249364 3658764    0    0     0   192  484  931  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  57892 463424 249364 3659064    0    0     0     8  574 1124  1  1 98  0  0
 0  0  57892 432120 249364 3692284    0    0     0  3864 3033 7011 11  3 87  0  0
 0  0  57892 421480 249364 3701664    0    0     0     8  975 1715  3  1 96  0  0
 0  0  57892 444032 249368 3681108    0    0     0   192 1115 1675  3  1 96  0  0
 1  0  57892 443716 249368 3680708    0    0     0     8 1473 1906  3  1 96  0  0
 1  0  57892 443224 249368 3678284    0    0     0     8 3568 3867  8  3 89  0  0
 3  0  57892 421152 249384 3720188    0    0  7832  1008 4729 7629 17  4 79  0  0
 0  0  57892 437656 249384 3709792    0    0     0     8 9471 9882 18  4 79  0  0
 3  0  57892 474892 249384 3678300    0    0     0     8 2823 3506  3  2 95  0  0
 1  0  57892 486236 249384 3667260    0    0     0     4 2512 2892  2  1 97  0  0
 0  0  57892 496104 249384 3667552    0    0     0     8 2359 3483  3  1 96  0  0
 0  0  57892 499176 249384 3662012    0    0     0   108 2683 3136  2  2 96  0  0
 0  0  57892 502236 249384 3659080    0    0     0     8 2431 3211  3  2 95  0  0
 0  0  57892 495912 249384 3663132    0    0     0     8 7111 9614 14  3 83  0  0
 0  0  57892 506124 249384 3659480    0    0     0    12 4531 5005  7  2 91  0  0
 1  0  57892 516276 249384 3651064    0    0     0     8  555 1096  1  1 98  0  0
 0  0  57892 529956 249388 3651060    0    0     0    52 1184 1380  1  1 98  0  0
 0  0  57892 529456 249388 3651064    0    0     0     8 1590 1426  0  1 98  0  0
 0  0  57892 527972 249396 3649136    0    0     0   236  546  986  1  1 98  0  0
 0  0  57892 527272 249396 3647352    0    0     0     8  502  876  1  1 98  0  0
 0  0  57892 527272 249396 3647256    0    0     0     8  432  871  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  57892 525508 249396 3647256    0    0     0   260  563 1026  1  1 98  0  0
 0  0  57892 525284 249408 3646956    0    0     0   164  510  958  1  1 98  0  0
 0  0  57892 519996 249408 3653236    0    0     0     8  589 1240  1  1 98  0  0
 0  0  57892 518008 249408 3653044    0    0     0     8  606 1288  2  1 98  0  0
 0  0  57892 504732 249408 3664252    0    0     0    16 2194 4884  6  2 92  0  0
 0  0  57892 461224 249408 3672596    0    0     0     8 7278 11720 27  6 67  0  0
 1  0  57892 743396 249440 3670052    0    0     0   396 3458 6452  9  3 88  0  0
 5  0  57892 761804 249440 3659296    0    0     0     0 4678 6207 12  3 84  0  0
 0  0  57892 775084 249456 3657488    0    0     0   260 5335 9946 21  6 73  0  0
 5  0  57892 772724 249472 3656680    0    0     0   120 7279 9841 23  7 70  0  0
 0  0  57892 772360 249484 3657516    0    0     0   116 5072 7437 19  4 77  0  0
 0  0  57892 777948 249484 3657496    0    0     0    52 1590 2935  4  1 95  0  0
 0  0  57892 774068 249484 3655672    0    0     0     0 3040 5042  4  2 94  0  0
 0  0  57892 770460 249492 3663960    0    0     0   168  776 1454  2  2 97  0  0
 0  0  57892 771556 249492 3663504    0    0     0   164  720 1224  1  1 98  0  0
 0  0  57892 768280 249492 3659028    0    0     0     0  601 1167  1  1 98  0  0
 0  0  57892 772420 249492 3659452    0    0     0    48  577 1107  1  1 98  0  0
 0  0  57892 770184 249492 3659452    0    0     0     0  574 1200  1  1 98  0  0
 8  0  57892 785008 249492 3659820    0    0     0    56 4768 5917 13  3 83  0  0
 2  0  57892 775796 249492 3665764    0    0     0     0 5671 9312 22  5 73  0  0
 0  0  57892 780812 249500 3657640    0    0     0   208 6611 10349 22  5 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  57892 791684 249500 3644540    0    0     0   116 2183 3999  6  3 91  0  0
 0  0  57892 781064 249500 3642528    0    0     0     0 1938 4153  4  2 94  0  0
 0  0  57892 784628 249500 3642528    0    0     0     0 1472 2878  3  3 95  0  0
 4  0  57892 778216 249500 3640736    0    0     0     0 4117 7149 13  4 83  0  0
 1  0  57892 763464 249508 3643064    0    0     0   288 3120 5851 13  3 83  0  0
 0  0  57892 784328 249508 3643076    0    0     0     0 2661 4104 10  2 88  0  0
 0  0  57892 795144 249508 3637672    0    0     0     0  915 1981  2  2 96  0  0
 0  0  57892 774896 249508 3645864    0    0     0   228 1429 2710  3  2 95  0  0
 0  0  57892 776660 249508 3637672    0    0     0     0  722 1540  1  1 97  0  0
 8  0  57892 780932 249508 3634820    0    0     0   108 1342 1974  5  2 94  0  0
 0  0  57892 796664 249512 3634796    0    0     0    56 1893 3152  5  2 93  0  0
 0  0  57892 799224 249512 3634796    0    0     0    68  604 1142  1  1 98  0  0
 0  0  57892 783420 249528 3634796    0    0     0   120 1917 4093  7  3 90  0  0
 0  0  57892 788576 249528 3634860    0    0     0     0  722 1376  1  2 98  0  0
 3  0  57892 774992 249532 3642860    0    0     0   144 1598 2822  4  2 95  0  0
 1  0  57892 759620 249532 3643100    0    0     0     0 2979 4840  8  2 90  0  0
 1  0  57892 773744 249532 3647152    0    0   274   160 4137 6347  8  3 89  0  0
 0  0  57892 772096 249548 3645620    0    0     0   168 2108 3260  4  2 94  0  0
 0  0  57892 786020 249548 3635888    0    0     0     0  517  922  1  1 98  0  0
 0  0  57892 799188 249548 3635888    0    0     0     0  961  898  4  1 94  0  0
 0  0  57892 797348 249548 3635888    0    0     0   104  469  855  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  57892 799640 249548 3635856    0    0     0    52  451  817  0  1 99  0  0
 0  0  57892 797684 249548 3631984    0    0     0     0  610  960  1  1 98  0  0
 0  0  57892 818676 249552 3631984    0    0     0    52  592  874  1  1 98  0  0
 0  0  57892 788144 249556 3650764    0    0     0   212 1353 2804  5  2 94  0  0
 0  0  57892 794584 249556 3650920    0    0     0    44  754 1603  2  2 97  0  0
 0  0  57892 804604 249556 3638752    0    0     0   128  582 1125  1  1 98  0  0
 0  0  57892 775124 249556 3653980    0    0     0     0 1471 2786  3  2 95  0  0
 0  0  57892 788412 249556 3645952    0    0     0     0  577 1024  1  1 98  0  0
 0  0  57892 798604 249560 3639852    0    0     0    56  607 1038  1  2 98  0  0
 0  0  57892 791588 249560 3640684    0    0     0    48 1066 2001  2  2 97  0  0
 0  0  57892 806060 249560 3637716    0    0     0   128  812 1568  1  1 98  0  0
 0  0  57892 818304 249560 3629416    0    0     0     0  655  994  1  1 98  0  0
 0  0  57892 823384 249560 3629416    0    0     0     0  430  789  1  1 98  0  0
 0  0  57892 817268 249560 3637544    0    0     0   312 1007 2204  3  2 95  0  0
 1  0  57892 819256 249564 3637544    0    0     0    68  719 1304  2  1 97  0  0
 0  0  57892 816848 249568 3637608    0    0     0   268  948 2059  2  1 96  0  0
 1  0  57892 815444 249568 3637608    0    0     0   120  918 1864  2  2 96  0  0
 0  0  57892 817716 249568 3629416    0    0     0     0  594 1023  1  1 98  0  0
 0  0  57892 811820 249568 3637736    0    0     0     0  876 1695  2  2 97  0  0
 0  0  57892 819568 249568 3637736    0    0     0     0  715 1341  1  1 98  0  0
 0  0  57892 819180 249568 3637672    0    0     0    12  743 1270  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  57892 816164 249568 3637672    0    0     0   136  929 1824  2  1 97  0  0
 0  0  57892 824584 249568 3629484    0    0     0     0  555  946  1  1 98  0  0
 0  0  57892 808744 249572 3637392    0    0     0   156  886 1592  1  1 98  0  0
 0  0  57892 804488 249572 3637544    0    0     0     0  751 1551  2  1 97  0  0
 0  0  57892 805668 249572 3637772    0    0     0    92  678 1376  1  1 98  0  0
 0  0  57892 821184 249572 3629480    0    0     0   340  647 1073  1  1 98  0  0
 0  0  57892 808848 249572 3637420    0    0     0     0  849 1610  1  1 97  0  0
 0  0  57892 810616 249572 3629692    0    0     0     0  538 1005  1  1 98  0  0
 0  0  57892 798772 249572 3637608    0    0     0     0 1034 1926  2  1 96  0  0
 0  0  57892 798464 249572 3637612    0    0     0    20  934 1813  2  1 97  0  0
 0  0  57892 811420 249572 3629420    0    0     0   200  602 1161  1  2 97  0  0
 0  0  57892 790832 249572 3644588    0    0     0     0 1088 2107  2  3 95  0  0
 0  0  57892 792220 249572 3644784    0    0     0     0 1247 2288  3  1 96  0  0
 0  0  57892 804764 249572 3629508    0    0     0     0  460  924  1  1 98  0  0
 1  0  57892 789168 249572 3637616    0    0     0     0  874 1613  3  1 96  0  0
 0  0  57892 784080 249576 3637616    0    0     0   328  785 1470  2  1 97  0  0
 0  0  57892 794716 249576 3637680    0    0     0     0  814 1674  2  1 97  0  0
 0  0  57892 811288 249576 3637680    0    0     0     0 2468 1486  8  1 91  0  0
 1  0  57892 818420 249576 3629424    0    0     0     0  541 1114  1  2 97  0  0
 0  0  57892 811980 249576 3636592    0    0     0     0 1052 1958  3  2 95  0  0
 0  0  57892 810472 249580 3636592    0    0     0    88  531  974  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  57892 810472 249580 3636592    0    0     0    28  526  864  1  1 98  0  0
 0  0  57892 810472 249584 3636592    0    0     0   212  460  839  1  1 98  0  0
 0  0  57892 802552 249584 3637616    0    0     0     0 1080 1813  2  2 96  0  0
 0  0  57892 817136 249584 3629636    0    0     0     0  572 1007  1  1 98  0  0
 0  0  57892 815372 249584 3629424    0    0     0     0  635  985  1  2 98  0  0
 0  0  57892 800532 249584 3637616    0    0     0    72  986 1872  3  1 96  0  0
 0  0  57892 787028 249584 3638548    0    0     0    68 1186 2138  2  2 96  0  0
 0  0  57892 796668 249584 3638956    0    0     0     0 1340 3342  4  2 94  0  0
 1  0  57892 787008 249584 3635164    0    0   765     0 1054 1692  2  1 97  0  0
 0  0  57892 791080 249584 3637408    0    0     0     0 1891 4165  4  2 94  0  0
 0  0  57892 805096 249584 3630240    0    0     0    44 1984 3211  3  2 95  0  0
 3  0  57892 806024 249592 3637284    0    0     0   124  868 1722  2  1 96  0  0
 0  0  57892 792568 249592 3637292    0    0     0    72 1496 2308  8  2 90  0  0
