procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 3841476 291544 7704760    0    0    15    30  102  131  4  1 96  0  0
 1  0      0 3847844 291544 7695908    0    0     0   332 9048 12520 71 11 19  0  0
30  0      0 3399232 291544 7694600    0    0     0   308 9408 7114 38  6 56  0  0
 2  0      0 3827272 291544 7712060    0    0     0   632 9334 13717 60  9 32  0  0
31  0      0 3439740 291552 7708852    0    0     0   772 9008 9051 56  8 36  0  0
 5  0      0 3806036 291552 7703980    0    0     0   368 9057 10336 37  6 57  0  0
 8  0      0 3718692 291552 7700952    0    0     0   708 9874 13238 81 12  7  0  0
25  0      0 3589448 291560 7700744    0    0     0   640 9013 8812 37  6 56  0  0
 2  0      0 3838840 291560 7700792    0    0     0   208 9258 9043 26  4 70  0  0
 0  0      0 3878084 291560 7692476    0    0     0     8 10269 4701  8  1 91  0  0
 0  0      0 3878800 291600 7685828    0    0     0   548 1575 3287  2  1 97  0  0
 0  0      0 3899332 291600 7679880    0    0     0   176 2125 2885  2  1 97  0  0
 0  0      0 3895752 291600 7679808    0    0     0    16 1215 2396  2  1 97  0  0
 0  0      0 3888988 291600 7679612    0    0     0   300 1444 1642  2  0 98  0  0
