procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 3886176 291600 7679604    0    0    15    30  102  132  4  1 95  0  0
58  0      0 2351316 291600 7682928    0    0     0  9628 10799 8654 87 11  2  0  0
 3  0      0 3868468 291604 7684540    0    0     0   996 11467 17769 64 11 25  0  0
52  0      0 3083080 291608 7680760    0    0     0  1364 8396 10355 58 10 32  0  0
26  0      0 3594188 291608 7663160    0    0     0   564 10155 13409 88 11  0  0  0
24  0      0 3630496 291752 7663352    0    0     0  2384 9405 12460 58 10 31  0  0
39  0      0 3192408 291752 7682648    0    0     0   908 10422 12285 88 12  0  0  0
12  0      0 3765292 291752 7681648    0    0     0   616 9902 15082 71 12 17  0  0
39  0      0 3080532 291752 7681400    0    0     0   472 9973 10480 86 11  4  0  0
 8  0      0 3765184 291752 7681568    0    0     0   572 10274 14803 72 12 16  0  0
 1  0      0 3919756 291756 7681580    0    0     0   836 8719 8662 17  3 80  0  0
