procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 3913616 291784 7685196    0    0    14    30  103  133  4  1 95  0  0
90  0      0 1904388 291784 7683660    0    0     0   320 9888 12100 84 12  4  0  0
98  0      0 1157168 291792 7686596    0    0     0   756 9886 9391 91  9  0  0  0
76  0      0 2941688 291800 7706488    0    0     0  1320 21426 16302 86 14  0  0  0
22  0      0 3571824 291800 7703000    0    0     0   536 10969 18079 73 13 15  0  0
93  0      0 2169568 291952 7685256    0    0     0  2292 10081 12159 87 13  0  0  0
94  0      0 1706268 291964 7697748    0    0     0   868 10328 9519 90 10  0  0  0
50  0      0 3024120 291968 7697504    0    0     0  9576 10587 16989 86 14  0  0  0
57  0      0 3050448 291968 7685316    0    0     0   600 11287 15162 86 14  0  0  0
88  0      0 2157652 291968 7686196    0    0    36   416 9511 11050 88 12  0  0  0
78  0      0 2181424 291968 7665176    0    0     0   412 10021 10694 90 10  0  0  0
47  0      0 3253796 291980 7665008    0    0     0  2224 10985 16319 85 15  0  0  0
68  0      0 2790092 291980 7665280    0    0     0  1076 10278 11746 88 13  0  0  0
80  0      0 2204328 291980 7685776    0    0     0   392 9623 10313 90 10  0  0  0
64  0      0 2820312 291980 7686176    0    0     0   568 10328 14061 87 13  0  0  0
34  0      0 3495348 291980 7665952    0    0     0   604 11035 15661 87 13  0  0  0
 1  0      0 3900952 291984 7686428    0    0     0  2184 11576 17279 67 12 21  0  0
