procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 3905704 291984 7686448    0    0    14    30  104  133  4  1 95  0  0
88  0      0 1898184 291984 7673988    0    0     0   324 9185 8374 85 12  3  0  0
110  0      0 983764 291984 7674580    0    0     0   156 8496 8056 91  9  0  0  0
101  0      0 2210900 291984 7653972    0    0     0   656 9773 14701 86 14  0  0  0
29  0      0 3474024 291992 7655272    0    0     0  1532 11895 20457 88 12  0  0  0
108  0      0 2199268 291992 7655548    0    0     0   536 9246 11045 87 13  0  0  0
118  0      0 1083416 291992 7655564    0    0     0   200 9035 9690 91  9  0  0  0
112  0      0 1616240 291992 7656192    0    0     0   476 9185 11798 89 11  0  0  0
61  0      0 3145976 291992 7653976    0    0     0   720 10734 20023 86 14  0  0  0
76  0      0 2888020 292004 7653984    0    0     0  2788 10805 14477 87 13  0  0  0
113  0      0 1669752 292004 7654044    0    0     0   352 9266 10307 89 11  0  0  0
112  0      0 1224120 292004 7654172    0    0     0   292 8595 9365 91 10  0  0  0
94  0      0 2589356 292004 7654048    0    0     0   664 10411 15942 87 13  0  0  0
47  0      0 2983760 292112 7654000    0    0     0  2248 11329 16712 87 13  0  0  0
108  0      0 2396124 292112 7654336    0    0     0   896 8940 11310 86 14  0  0  0
103  0      0 1434668 292112 7654632    0    0     0   412 9614 10770 91  9  0  0  0
115  0      0 1826240 292112 7654692    0    0     0  1180 9086 11645 89 11  0  0  0
62  0      0 2859652 292120 7654408    0    0     0  1640 11018 16211 86 14  0  0  0
62  0      0 3038876 292120 7654688    0    0     0   580 10362 13159 88 12  0  0  0
44  0      0 3117088 292120 7654800    0    0     0   404 10806 12749 89 11  0  0  0
 1  0      0 3921496 292120 7654976    0    0     0  8444 9747 11880 40  7 53  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 3925492 292120 7654996    0    0     0    16 5940 7117  8  1 91  0  0
